ranking,nome_jogo,plataforma,ano,genero,editora,NA_vendas,EU_vendas,JP_vendas,outras_vendas,global_vendas,preco,receita_NA,receita_EU,receita_JP,receita_outras,receita_global,anos_desde_lancamento
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,31.18,1293.66,904.84,117.55,263.78,2579.83,18
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,36.84,1071.31,131.89,250.88,28.37,1482.44,39
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,52.13,826.26,671.43,197.57,172.55,1867.3,16
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,12.02,189.32,132.34,39.43,35.58,396.66,15
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,50.34,567.33,447.52,514.47,50.34,1579.17,28
6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,21.69,503.21,49.02,91.53,12.58,656.34,35
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,67.93,773.04,626.99,441.55,197.0,2038.58,18
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,30.2,423.71,277.84,88.49,86.07,876.4,18
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,66.33,967.75,468.29,311.75,149.91,1898.36,15
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,64.33,1732.41,40.53,18.01,30.24,1821.18,40
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,38.83,352.19,427.13,74.94,106.78,961.43,19
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,30.94,303.52,234.22,127.78,59.4,724.61,19
