Temperatura,Umidade
0,0
27,40
27,41
27,41
27,41
27,41
27,40
27,40
27,40
27,40
27,40
27,39
27,39
27,39
27,39
27,39
27,38
27,38
27,38
27,38
27,37
27,37
27,37
28,38
27,39
27,41
27,43
27,45
27,45
27,45
27,45
27,45
28,44
28,44
28,44
28,44
28,44
28,45
28,45
28,45
28,45
28,45
28,44
28,44
28,43
28,43
28,43
28,42
28,42
28,42
28,41
28,41
28,41
28,41
28,40
28,40
28,40
28,40
28,39
28,39
28,39
28,38
28,38
28,38
28,37
28,37
28,37
28,36
28,36
28,36
28,36
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,34
28,34
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,35
28,36
28,36
28,36
28,36
28,36
28,36
28,36
28,36
28,35
28,35
28,35
28,35
28,34
28,34
28,34
28,34
28,34
28,34
28,34
28,34
28,34
28,35
28,35
28,35
28,35
28,34
28,34
28,35
28,35
28,35
28,40
28,43
28,44
28,44
28,44
28,45
28,45
28,45
28,44
28,44
28,44
28,43
28,43
28,42
28,42
28,41
28,41
28,41
28,40
28,40
28,39
28,39
28,38
28,37
28,37
28,36
28,36
