Temperatura,Umidade
23,46
23,47
23,47
23,47
23,47
23,47
23,47
23,46
23,47
23,48
23,51
23,51
23,51
23,51
23,51
23,51
23,50
24,57
24,61
24,62
24,62
24,61
24,60
24,59
24,58
24,56
24,55
24,54
24,53
24,53
24,52
24,51
24,51
24,50
24,50
24,49
24,49
24,49
24,49
24,49
24,48
24,48
24,48
24,48
24,48
23,48
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,48
23,50
23,50
23,50
23,50
23,50
23,50
23,49
23,49
23,49
23,49
23,49
23,48
23,48
23,48
23,48
23,48
23,48
23,48
23,48
23,48
23,48
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,46
23,46
23,46
23,46
23,46
23,46
23,46
23,47
23,47
23,47
23,47
23,47
23,47
23,47
23,47
