Temperatura,Umidade
21,40
21,39
21,39
21,39
21,40
21,39
21,39
21,39
21,39
21,39
21,39
21,40
21,40
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,39
21,39
21,39
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,40
21,40
21,40
21,40
21,40
21,39
21,39
21,40
21,40
21,40
21,40
21,39
21,39
21,39
21,39
21,39
21,39
21,39
21,39
